  250.0000      1.000000    
  260.0000      1.000000    
  270.0000      1.000000    
  280.0000     0.9998513    
  290.0000     0.9791237    
  300.0000     0.9104417    
  310.0000     0.9267939    
  320.0000     0.9510186    
  330.0000     0.9592682    
  340.0000     0.9704313    
  350.0000     0.9842367    
  360.0000     0.9928754    
  370.0000     0.9957592    
  380.0000     0.9957448    
  390.0000     0.9928574    
  400.0000     0.9794042    
  410.0000     0.9334431    
  420.0000     0.7833949    
  430.0000     0.4237098    
  440.0000     0.1774123    
  450.0000     0.07769006
